epoch,train_loss,mae,rmse
1,7.643303058426213,2.805415153503418,8.499131102188477
2,4.194956898434105,2.1545472145080566,5.812387772984108
3,3.0247556865823544,2.0866916179656982,5.44352511128653
4,2.518748640782671,2.0555429458618164,5.9757409821414225
5,2.0966878435184353,2.3621137142181396,6.7347947275305025
6,1.9119812469341428,2.0904381275177,5.985069135045102
7,1.7696943091292303,2.0016138553619385,5.720589763941691
8,1.6305569043183934,2.004473924636841,5.712938701720782
9,1.3632913117292682,1.8734508752822876,5.401548778107119
10,1.2793631772438618,1.9428316354751587,5.90508440414431
11,1.2929345030266919,2.066187858581543,6.408861474677958
12,1.0682582157082696,2.1666436195373535,6.759556821934044
13,1.0442820798689685,1.782914400100708,5.262730739726971
14,0.9103581434838702,2.080747365951538,6.2875422755008925
15,0.9386615968046066,1.693471908569336,4.9532867308966235
16,0.7905511700695795,1.712323784828186,5.110774323982016
17,0.9223739094147669,1.8247082233428955,5.713607059777993
18,0.6787338760503938,1.908736228942871,5.972182001180524
19,0.7484208814812024,1.8258615732192993,5.439046705530428
20,0.700190814098383,2.0232503414154053,5.965090283768206
